name,perf,kfold_perf,params,timestamp
XGBClassifier,,,"{'max_depth': 13, 'max_bin': 1218, 'learning_rate': 0.0707041410602568, 'n_estimators': 485, 'subsample': 0.972181427731398, 'colsample_bytree': 0.900969953321735, 'gamma': 2.8498455966544016, 'min_child_weight': 3, 'lambda': 4.317031449432783, 'alpha': 4.11471388964481, 'enable_categorical': True}",2024-11-19 13:34:19
CatBoostClassifier,,,"{'iterations': 490, 'depth': 4, 'learning_rate': 0.1854584393185115, 'l2_leaf_reg': 6.987636476631746, 'bagging_temperature': 0.7955909296092272}",2024-11-19 13:34:19
RandomForestClassifier,0.8236254788902023,,"{'n_estimators': 366, 'max_depth': 13, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt'}",2024-11-19 13:34:19
