iter	Logloss
0	0.5036996716
1	0.3806986356
2	0.3112372871
3	0.2729024228
4	0.2463552229
5	0.2332127738
6	0.2221081947
7	0.2146916513
8	0.2088484567
9	0.2054402546
10	0.2024133026
11	0.2000379695
12	0.1976067367
13	0.1942328377
14	0.1903575699
15	0.1891467058
16	0.1868348805
17	0.1847843422
18	0.1837307023
19	0.1826586384
20	0.1817549917
21	0.1810537958
22	0.179959997
23	0.1794297689
24	0.178838887
25	0.1779454382
26	0.1772265783
27	0.1768423334
28	0.176600156
29	0.1760537591
30	0.1746177086
31	0.1743246466
32	0.1733101136
33	0.1728157047
34	0.1725474841
35	0.1721888853
36	0.171931085
37	0.1716228376
38	0.1709658045
39	0.1706046365
40	0.1701911514
41	0.1700106101
42	0.1697670575
43	0.1694060824
44	0.1690923352
45	0.1687488848
46	0.1681285961
47	0.1676765805
48	0.1674839611
49	0.1672695036
50	0.1670111902
51	0.1667245536
52	0.1665806689
53	0.1665006132
54	0.1661338214
55	0.1655776764
56	0.1652023027
57	0.1650003926
58	0.1640833231
59	0.1637999581
60	0.1635516009
61	0.1635468832
62	0.163320852
63	0.163204384
64	0.1630291566
65	0.1628045282
66	0.1625141839
67	0.1623320305
68	0.1621026
69	0.1620054763
70	0.1617070799
71	0.1616119904
72	0.1613730644
73	0.1613033533
74	0.1611306825
75	0.1604584594
76	0.1604551391
77	0.1603578158
78	0.1601556153
79	0.1599306367
80	0.1595496659
81	0.1594169041
82	0.1592720294
83	0.1591897813
84	0.1589841722
85	0.1588895491
86	0.1587463662
87	0.1586541099
88	0.158231541
89	0.1582245176
90	0.1581881934
91	0.1578389092
92	0.1572435269
93	0.1571106611
94	0.1571081313
95	0.1568414924
96	0.1565917519
97	0.1562922911
98	0.1560915242
99	0.1560576885
100	0.155950983
101	0.1559113509
102	0.1558111337
103	0.1556967801
104	0.1553319172
105	0.155164448
106	0.1550865151
107	0.1550059189
108	0.1549315336
109	0.1545535365
110	0.1544849476
111	0.1544648906
112	0.1543883157
113	0.1542781058
114	0.1541576212
115	0.1538708794
116	0.1537925909
117	0.1537887676
118	0.1537669656
119	0.1536065883
120	0.1535474857
121	0.1534821408
122	0.1531527488
123	0.1530770773
124	0.1530724837
125	0.1529679093
126	0.1526617256
127	0.1525990861
128	0.1525438339
129	0.1523748393
130	0.1520557841
131	0.151906738
132	0.1517745295
133	0.1517426407
134	0.1516716317
135	0.1516175849
136	0.1515137118
137	0.1514548478
138	0.1512158881
139	0.1512008353
140	0.151164187
141	0.1509620783
142	0.1507139422
143	0.1505941464
144	0.1505866757
145	0.1505256967
146	0.1503199303
147	0.150234364
148	0.1499950007
149	0.149902251
150	0.1498940528
151	0.1498793007
152	0.1497885827
153	0.149701828
154	0.1496980377
155	0.1496946855
156	0.1496628523
157	0.1496598885
158	0.1495771458
159	0.1495016361
160	0.1494772819
161	0.1494754619
162	0.1494141274
163	0.1493391951
164	0.1491591695
165	0.1490869983
166	0.1490465826
167	0.1490102686
168	0.1489841903
169	0.1488240259
170	0.14882285
171	0.1487671047
172	0.1487155774
173	0.1485896729
174	0.1485256468
175	0.1484361856
176	0.1483884702
177	0.1483011157
178	0.1481850796
179	0.1480404972
180	0.1480254245
181	0.1479800896
182	0.1478100749
183	0.1477870372
184	0.1477851032
185	0.1477614616
186	0.1476552815
187	0.14759066
188	0.1475902296
189	0.1475061453
190	0.1473075154
191	0.1472212378
192	0.1472175203
193	0.1469442743
194	0.1469328653
195	0.1467824374
196	0.1465982788
197	0.1465354117
198	0.1464833908
199	0.146476321
200	0.1463241767
201	0.1463077086
202	0.1461792089
203	0.1459211144
204	0.1458862882
205	0.1458149789
206	0.1458135711
207	0.1457441157
208	0.1456810485
209	0.1455062258
210	0.1454295158
211	0.1453758428
212	0.1453482148
213	0.1452771482
214	0.1452631389
215	0.1452311213
216	0.1451724264
217	0.145076088
218	0.145070242
219	0.1449872263
220	0.1448345458
221	0.1447807129
222	0.1447681659
223	0.1446961402
224	0.1446628067
225	0.1445967712
226	0.144588274
227	0.144573509
228	0.144563145
229	0.1445171902
230	0.1445146747
231	0.1445023217
232	0.1443615648
233	0.1443593735
234	0.144327994
235	0.1441988618
236	0.1441963241
237	0.1441190559
238	0.1439903253
239	0.1439886078
240	0.143575928
241	0.1435689383
242	0.1435048555
243	0.143406931
244	0.1432810105
245	0.1432634205
246	0.1431939273
247	0.142940555
248	0.1428474279
249	0.1428462086
250	0.1428204075
251	0.1427187813
252	0.1427165556
253	0.1425636075
254	0.1425583127
255	0.1425165632
256	0.1423722009
257	0.1423056047
258	0.1422750119
259	0.1421872048
260	0.1421265908
261	0.1420294202
262	0.1419615115
263	0.1418689607
264	0.1418657823
265	0.141863284
266	0.1418159476
267	0.1417999972
268	0.1417511933
269	0.1416655812
270	0.1415183432
271	0.1414528254
272	0.1414509726
273	0.1413618917
274	0.1413580498
275	0.1413013596
276	0.1411579529
277	0.1411231008
278	0.141026896
279	0.141025033
280	0.1409026819
281	0.140793434
282	0.1407908004
283	0.1406746296
284	0.1405869538
285	0.1404610038
286	0.1404334435
287	0.1403377441
288	0.1402605179
289	0.1401601901
290	0.1401195667
291	0.1401170936
292	0.1401163261
293	0.1400998056
294	0.1400527174
295	0.1400486427
296	0.1399996008
297	0.1398628451
298	0.1398546484
299	0.1397920944
300	0.139649011
301	0.1395931157
302	0.1395285871
303	0.1395096355
304	0.1394917677
305	0.1394913841
306	0.1394445986
307	0.1392532644
308	0.1392048461
309	0.1391748549
310	0.1389557834
311	0.1389216331
312	0.1388171798
313	0.1387715635
314	0.1386957449
315	0.1386949435
316	0.1386917283
317	0.1385999611
318	0.1385991773
319	0.1384511637
320	0.1384098855
321	0.1384074204
322	0.1383505264
323	0.1382671666
324	0.1381672071
325	0.1380790893
326	0.1380786143
