iter	Passed	Remaining
405	7019	1452
406	7036	1435
407	7054	1417
408	7072	1400
409	7089	1383
410	7107	1366
411	7123	1348
412	7140	1331
413	7159	1314
414	7177	1297
415	7195	1279
416	7213	1262
417	7231	1245
418	7249	1228
419	7265	1210
420	7283	1193
421	7300	1176
422	7320	1159
423	7338	1142
424	7355	1124
425	7371	1107
426	7388	1090
427	7406	1072
428	7423	1055
429	7438	1037
430	7456	1020
431	7475	1003
432	7492	986
433	7510	969
434	7528	951
435	7546	934
436	7563	917
437	7583	900
438	7600	882
439	7619	865
440	7637	848
441	7657	831
442	7675	814
443	7695	797
444	7716	780
445	7736	763
446	7758	746
447	7775	728
448	7795	711
449	7814	694
450	7835	677
451	7855	660
452	7876	643
453	7899	626
454	7920	609
455	7942	592
456	7965	575
457	7986	558
458	8007	540
459	8027	523
460	8049	506
461	8071	489
462	8091	471
463	8112	454
464	8131	437
465	8154	419
466	8173	402
467	8197	385
468	8221	368
469	8244	350
470	8267	333
471	8290	316
472	8310	298
473	8330	281
474	8351	263
475	8371	246
476	8395	228
477	8414	211
478	8437	193
479	8460	176
480	8480	158
481	8503	141
482	8523	123
483	8546	105
484	8566	88
485	8589	70
486	8612	53
487	8636	35
488	8659	17
489	8683	0
